manifest_id,date_time,global_seed,N_blocks,k_test,phi_paths,split_id,test_blocks,train_blocks,path_id,fold_id
cpcv_2015_2020_v1,2025-09-02T15:04:10,20250902,6,2,5,S2015_2016,"2015,2016","2017,2018,2019,2020",1,01
cpcv_2015_2020_v1,2025-09-02T15:04:10,20250902,6,2,5,S2015_2017,"2015,2017","2016,2018,2019,2020",2,02
cpcv_2015_2020_v1,2025-09-02T15:04:10,20250902,6,2,5,S2015_2018,"2015,2018","2016,2017,2019,2020",3,03
cpcv_2015_2020_v1,2025-09-02T15:04:10,20250902,6,2,5,S2015_2019,"2015,2019","2016,2017,2018,2020",4,04
cpcv_2015_2020_v1,2025-09-02T15:04:10,20250902,6,2,5,S2015_2020,"2015,2020","2016,2017,2018,2019",5,05
cpcv_2015_2020_v1,2025-09-02T15:04:10,20250902,6,2,5,S2016_2017,"2016,2017","2015,2018,2019,2020",5,06
cpcv_2015_2020_v1,2025-09-02T15:04:10,20250902,6,2,5,S2016_2018,"2016,2018","2015,2017,2019,2020",4,07
cpcv_2015_2020_v1,2025-09-02T15:04:10,20250902,6,2,5,S2016_2019,"2016,2019","2015,2017,2018,2020",2,08
cpcv_2015_2020_v1,2025-09-02T15:04:10,20250902,6,2,5,S2016_2020,"2016,2020","2015,2017,2018,2019",3,09
cpcv_2015_2020_v1,2025-09-02T15:04:10,20250902,6,2,5,S2017_2018,"2017,2018","2015,2016,2019,2020",1,10
cpcv_2015_2020_v1,2025-09-02T15:04:10,20250902,6,2,5,S2017_2019,"2017,2019","2015,2016,2018,2020",3,11
cpcv_2015_2020_v1,2025-09-02T15:04:10,20250902,6,2,5,S2017_2020,"2017,2020","2015,2016,2018,2019",4,12
cpcv_2015_2020_v1,2025-09-02T15:04:10,20250902,6,2,5,S2018_2019,"2018,2019","2015,2016,2017,2020",5,13
cpcv_2015_2020_v1,2025-09-02T15:04:10,20250902,6,2,5,S2018_2020,"2018,2020","2015,2016,2017,2019",2,14
cpcv_2015_2020_v1,2025-09-02T15:04:10,20250902,6,2,5,S2019_2020,"2019,2020","2015,2016,2017,2018",1,15
