manifest_id,path_id,year_block,split_id
cpcv_2015_2020_v1,1,2015,S2015_2016
cpcv_2015_2020_v1,1,2016,S2015_2016
cpcv_2015_2020_v1,1,2017,S2017_2018
cpcv_2015_2020_v1,1,2018,S2017_2018
cpcv_2015_2020_v1,1,2019,S2019_2020
cpcv_2015_2020_v1,1,2020,S2019_2020
cpcv_2015_2020_v1,2,2015,S2015_2017
cpcv_2015_2020_v1,2,2016,S2016_2019
cpcv_2015_2020_v1,2,2017,S2015_2017
cpcv_2015_2020_v1,2,2018,S2018_2020
cpcv_2015_2020_v1,2,2019,S2016_2019
cpcv_2015_2020_v1,2,2020,S2018_2020
cpcv_2015_2020_v1,3,2015,S2015_2018
cpcv_2015_2020_v1,3,2016,S2016_2020
cpcv_2015_2020_v1,3,2017,S2017_2019
cpcv_2015_2020_v1,3,2018,S2015_2018
cpcv_2015_2020_v1,3,2019,S2017_2019
cpcv_2015_2020_v1,3,2020,S2016_2020
cpcv_2015_2020_v1,4,2015,S2015_2019
cpcv_2015_2020_v1,4,2016,S2016_2018
cpcv_2015_2020_v1,4,2017,S2017_2020
cpcv_2015_2020_v1,4,2018,S2016_2018
cpcv_2015_2020_v1,4,2019,S2015_2019
cpcv_2015_2020_v1,4,2020,S2017_2020
cpcv_2015_2020_v1,5,2015,S2015_2020
cpcv_2015_2020_v1,5,2016,S2016_2017
cpcv_2015_2020_v1,5,2017,S2016_2017
cpcv_2015_2020_v1,5,2018,S2018_2019
cpcv_2015_2020_v1,5,2019,S2018_2019
cpcv_2015_2020_v1,5,2020,S2015_2020
